ndc9:911.1351	"日本文学--詩歌--勅撰集．八代集--古今和歌集"
ndc9:911.1352	"日本文学--詩歌--勅撰集．八代集--後撰和歌集"
ndc9:911.1353	"日本文学--詩歌--勅撰集．八代集--拾遺和歌集"
ndc9:911.1354	"日本文学--詩歌--勅撰集．八代集--後拾遺和歌集"
ndc9:911.1355	"日本文学--詩歌--勅撰集．八代集--金葉和歌集"
ndc9:911.1356	"日本文学--詩歌--勅撰集．八代集--詞花和歌集"
ndc9:911.1357	"日本文学--詩歌--勅撰集．八代集--千載和歌集"
ndc9:911.1358	"日本文学--詩歌--勅撰集．八代集--新古今和歌集"
ndc9:911.137	"日本文学--詩歌--古代後期［中古］：平安時代--私撰集：新撰和歌集，三十六人集，古今和歌六帖"
ndc9:911.138	"日本文学--詩歌--古代後期［中古］：平安時代--家集"
ndc9:911.14	"日本文学--詩歌--和歌．短歌--中世：鎌倉・室町時代"
ndc9:911.142	"日本文学--詩歌--中世：鎌倉・室町時代--歌人伝・研究"
ndc9:911.145	"日本文学--詩歌--中世：鎌倉・室町時代--勅撰集：十三代集"
ndc9:911.147	"日本文学--詩歌--中世：鎌倉・室町時代--私撰集：小倉百人一首"
ndc9:911.1473	"日本文学--詩歌--私撰集：小倉百人一首--夫木和歌集．新葉和歌集"
ndc9:911.148	"日本文学--詩歌--中世：鎌倉・室町時代--家集：山家集，金槐集"
ndc9:911.15	"日本文学--詩歌--和歌．短歌--近世：江戸時代"
ndc9:911.152	"日本文学--詩歌--近世：江戸時代--歌人伝・研究"
ndc9:911.157	"日本文学--詩歌--近世：江戸時代--選集"
ndc9:911.158	"日本文学--詩歌--近世：江戸時代--家集"
ndc9:911.16	"日本文学--詩歌--和歌．短歌--近代：明治以後"
ndc9:911.162	"日本文学--詩歌--近代：明治以後--歌人伝・研究"
ndc9:911.167	"日本文学--詩歌--近代：明治以後--複数作家の歌集．勅題集"
ndc9:911.168	"日本文学--詩歌--近代：明治以後--個人歌集"
ndc9:911.18	"日本文学--詩歌--和歌．短歌--歌合．曲水"
ndc9:911.19	"日本文学--詩歌--和歌．短歌--狂歌．へなぶり"
ndc9:911.2	"日本文学--詩歌--連歌"
ndc9:911.201	"日本文学--詩歌--連歌--連歌論"
ndc9:911.3	"日本文学--詩歌--俳諧．俳句"
ndc9:911.301	"日本文学--詩歌--俳諧．俳句--俳論"
ndc9:911.302	"日本文学--詩歌--俳諧．俳句--俳諧史．俳人列伝・研究"
ndc9:911.304	"日本文学--詩歌--俳諧．俳句--論文集．評論集．講演集．俳話．評釈．鑑賞"
ndc9:911.306	"日本文学--詩歌--俳諧．俳句--団体：学会，協会，会議．句会"
ndc9:911.307	"日本文学--詩歌--俳諧．俳句--研究法．指導法．作句法．作句用書．歳時記"
ndc9:911.308	"日本文学--詩歌--俳諧．俳句--叢書．全集．選集"
ndc9:911.31	"日本文学--詩歌--俳諧．俳句--芭蕉以前：山崎宗鑑，荒木田守武，松永貞徳，西山宗因，井原西鶴"
ndc9:911.31_.35	"日本文学--詩歌--俳諧．俳句--近世まで"
ndc9:911.32	"日本文学--詩歌--俳諧．俳句--松尾芭蕉"
ndc9:911.33	"日本文学--詩歌--俳諧．俳句--元禄期：榎本其角，服部嵐雪，向井去来，内藤丈草，森川許六，各務支考，横井也有，中川乙由，上島鬼貫"
ndc9:911.34	"日本文学--詩歌--俳諧．俳句--安永・天明期：炭太祇，与謝蕪村，堀麦水，加藤暁台，大島蓼太"
ndc9:911.35	"日本文学--詩歌--俳諧．俳句--文化・文政・天保期：小林一茶，成田蒼＊，桜井梅室"
ndc9:911.36	"日本文学--詩歌--俳諧．俳句--近代：明治以後"
ndc9:911.362	"日本文学--詩歌--近代：明治以後--俳人伝・研究"
ndc9:911.367	"日本文学--詩歌--近代：明治以後--複数作家の句集"
ndc9:911.368	"日本文学--詩歌--近代：明治以後--個人句集"
ndc9:911.38	"日本文学--詩歌--近代：明治以後--近代連句"
ndc9:911.4	"日本文学--詩歌--川柳．狂句"
ndc9:911.45	"日本文学--詩歌--川柳．狂句--近世：江戸時代"
ndc9:911.46	"日本文学--詩歌--川柳．狂句--近代：明治以後"
ndc9:911.467	"日本文学--詩歌--近代：明治以後--複数作家の句集"
ndc9:911.468	"日本文学--詩歌--近代：明治以後--個人句集"
ndc9:911.49	"日本文学--詩歌--川柳．狂句--雑俳：前句付，冠付，物は付，沓付，折句"
ndc9:911.5	"日本文学--詩歌--詩：新体詩，近代詩，現代詩"
ndc9:911.52	"日本文学--詩歌--詩：新体詩，近代詩，現代詩--詩史．詩人伝・研究"
ndc9:911.56	"日本文学--詩歌--詩：新体詩，近代詩，現代詩--個人詩集"
ndc9:911.568	"日本文学--詩歌--詩：新体詩，近代詩，現代詩--複数作家の詩集"
ndc9:911.58	"日本文学--詩歌--詩：新体詩，近代詩，現代詩--児童詩．童謡"
ndc9:911.59	"日本文学--詩歌--詩：新体詩，近代詩，現代詩--訳詩集"
ndc9:911.6	"日本文学--詩歌--歌謡"
ndc9:911.63	"日本文学--詩歌--歌謡--古代：平安時代まで"
ndc9:911.64	"日本文学--詩歌--歌謡--中世：鎌倉・室町時代"
ndc9:911.65	"日本文学--詩歌--歌謡--近世：江戸時代"
ndc9:911.66	"日本文学--詩歌--歌謡--近代：明治以後"
ndc9:911.9	"日本文学--詩歌--漢詩"
ndc9:912	"日本文学--戯曲"
ndc9:912.2	"日本文学--戯曲--舞の本"
ndc9:912.3	"日本文学--戯曲--謡曲"
ndc9:912.39	"日本文学--戯曲--狂言"
ndc9:912.4	"日本文学--戯曲--浄瑠璃：近松門左衛門，紀海音"
ndc9:912.5	"日本文学--戯曲--歌舞伎：鶴屋南北，河竹黙阿弥"
ndc9:912.6	"日本文学--戯曲--近代戯曲"
ndc9:912.68	"日本文学--戯曲--近代戯曲--複数作家の作品集"
ndc9:912.7	"日本文学--戯曲--シナリオ．放送ドラマ"
ndc9:912.78	"日本文学--戯曲--シナリオ．放送ドラマ--複数作家の作品集"
ndc9:912.8	"日本文学--戯曲--児童劇"
ndc9:913	"日本文学--小説．物語"
ndc9:913.2	"日本文学--小説．物語--古代前期［上代］：奈良時代まで"
ndc9:913.3	"日本文学--小説．物語--古代後期［中古］：平安時代"
ndc9:913.31	"日本文学--小説．物語--古代後期［中古］：平安時代--竹取物語"
ndc9:913.31_.36	"日本文学--小説．物語--古代後期［中古］：平安時代--平安時代前期の物語"
ndc9:913.32	"日本文学--小説．物語--古代後期［中古］：平安時代--伊勢物語"
ndc9:913.33	"日本文学--小説．物語--古代後期［中古］：平安時代--大和物語．平中物語．篁物語"
ndc9:913.34	"日本文学--小説．物語--古代後期［中古］：平安時代--宇津保物語"
ndc9:913.35	"日本文学--小説．物語--古代後期［中古］：平安時代--落窪物語"
ndc9:913.36	"日本文学--小説．物語--古代後期［中古］：平安時代--源氏物語"
ndc9:913.361	"日本文学--小説．物語--源氏物語--書誌．索引"
ndc9:913.362	"日本文学--小説．物語--源氏物語--年表．系図．故実"
ndc9:913.363	"日本文学--小説．物語--源氏物語--和歌"
ndc9:913.364	"日本文学--小説．物語--源氏物語--評釈．語法"
