ndc9:8	"言語（類目）"
ndc9:817.5	"日本語--読本．解釈．会話--国文解釈"
ndc9:817.7	"日本語--読本．解釈．会話--国語読本"
ndc9:817.8	"日本語--読本．解釈．会話--会話"
ndc9:818	"日本語--方言．訛語"
ndc9:818.99	"（日本語--方言．訛語--沖繩語，琉球語）"
ndc9:82	"中国語（綱目）"
ndc9:820	"中国語"
ndc9:820.7	"（中国語--中国語教育）"
ndc9:820.9	"中国語--中国語政策．中国語問題"
ndc9:821	"中国語--音声．音韻．文字"
ndc9:821.1	"中国語--音声．音韻．文字--音声．発音．音韻：四声"
ndc9:821.2	"中国語--音声．音韻．文字--漢字"
ndc9:821.27	"中国語--音声．音韻．文字--漢字--簡体字．異体字．常用字"
ndc9:821.29	"中国語--音声．音韻．文字--漢字--検字法"
ndc9:821.3	"中国語--音声．音韻．文字--注音符号"
ndc9:821.8	"中国語--音声．音韻．文字--ローマ字表記法"
ndc9:822	"中国語--語源．意味"
ndc9:823	"中国語--辞典"
ndc9:824	"中国語--語彙"
ndc9:825	"中国語--文法．語法"
ndc9:825.1	"中国語--文法．語法--形態論．構文論［統語論］"
ndc9:825.2	"中国語--文法．語法--名詞．数詞．量詞"
ndc9:825.3	"中国語--文法．語法--代名詞"
ndc9:825.4	"中国語--文法．語法--形容詞"
ndc9:825.5	"中国語--文法．語法--動詞"
ndc9:825.6	"中国語--文法．語法--副詞．介詞．連詞．嘆詞"
ndc9:825.7	"中国語--文法．語法--助詞"
ndc9:826	"中国語--文章．文体．作文"
ndc9:827	"中国語--読本．解釈．会話"
ndc9:827.5	"中国語--読本．解釈．会話--中国語解釈．漢文解釈"
ndc9:827.7	"中国語--読本．解釈．会話--中国語読本．漢文読本"
ndc9:827.8	"中国語--読本．解釈．会話--会話"
ndc9:828	"中国語--方言．訛語"
ndc9:828.1	"中国語--方言．訛語--北方語：北京方言"
ndc9:828.2	"中国語--方言．訛語--呉語：上海方言"
ndc9:828.3	"中国語--方言．訛語--びん語：福州方言．厦門方言"
ndc9:828.4	"中国語--方言．訛語--粤語：広州方言"
ndc9:828.5	"中国語--方言．訛語--台湾語"
ndc9:828.6	"中国語--方言．訛語--客家語"
ndc9:829	"その他の東洋の諸言語"
ndc9:829.1	"その他の東洋の諸言語--朝鮮語［韓国語］"
ndc9:829.11	"その他の東洋の諸言語--朝鮮語［韓国語］--音声．音韻．文字"
ndc9:829.12	"その他の東洋の諸言語--朝鮮語［韓国語］--語源．語義．意味"
ndc9:829.13	"その他の東洋の諸言語--朝鮮語［韓国語］--辞典"
ndc9:829.14	"その他の東洋の諸言語--朝鮮語［韓国語］--語彙"
ndc9:829.15	"その他の東洋の諸言語--朝鮮語［韓国語］--文法．語法"
ndc9:829.16	"その他の東洋の諸言語--朝鮮語［韓国語］--文章．文体．作文"
ndc9:829.17	"その他の東洋の諸言語--朝鮮語［韓国語］--読本．解釈．会話"
ndc9:829.178	"その他の東洋の諸言語--読本．解釈．会話--会話"
ndc9:829.18	"その他の東洋の諸言語--朝鮮語［韓国語］--方言．訛語"
ndc9:829.2	"その他の東洋の諸言語--アイヌ語"
ndc9:829.29	"その他の東洋の諸言語--古アジア諸語［極北諸語］：ギリヤーク語，チュクチ語"
ndc9:829.3	"その他の東洋の諸言語--チベット・ビルマ諸語"
ndc9:829.31	"その他の東洋の諸言語--チベット・ビルマ諸語--ヒマラヤ諸語．西夏語"
ndc9:829.311	"（その他の東洋の諸言語--ヒマラヤ諸語．西夏語--西夏文字，モソ文字）"
ndc9:829.32	"その他の東洋の諸言語--チベット・ビルマ諸語--チベット語"
ndc9:829.35	"その他の東洋の諸言語--チベット・ビルマ諸語--ビルマ語"
ndc9:829.351	"（その他の東洋の諸言語--ビルマ語--ロロ文字）"
ndc9:829.36	"その他の東洋の諸言語--カム・タイ諸語：タイ語［シャム語］"
ndc9:829.369	"その他の東洋の諸言語--カム・タイ諸語：タイ語［シャム語］--ラオ語．シャン語．アホム語．カレン語群"
ndc9:829.37	"その他の東洋の諸言語--カム・タイ諸語：タイ語［シャム語］--モン・クメール諸語：ベトナム語［安南語］"
ndc9:829.37_.39	"その他の東洋の諸言語--カム・タイ諸語：タイ語［シャム語］--オーストロ・アジア諸語"
ndc9:829.38	"その他の東洋の諸言語--モン・クメール諸語：ベトナム語［安南語］--クメール語［カンボジア語］．モン語"
ndc9:829.39	"その他の東洋の諸言語--カム・タイ諸語：タイ語［シャム語］--ムンダー諸語．ニコバル島諸語"
ndc9:829.4	"その他の東洋の諸言語--オーストロネシア諸語［マライ・ポリネシア諸語］"
ndc9:829.41	"その他の東洋の諸言語--オーストロネシア諸語［マライ・ポリネシア諸語］--高山族諸語"
ndc9:829.42	"その他の東洋の諸言語--オーストロネシア諸語［マライ・ポリネシア諸語］--ムラユ語［マレー語．マライ語］．インドネシア語"
ndc9:829.43	"その他の東洋の諸言語--オーストロネシア諸語［マライ・ポリネシア諸語］--ジャワ語．パラオ語．スンダ語．マラガシ語"
ndc9:829.44	"その他の東洋の諸言語--オーストロネシア諸語［マライ・ポリネシア諸語］--タガログ語［ピリピノ語］"
ndc9:829.45	"その他の東洋の諸言語--オーストロネシア諸語［マライ・ポリネシア諸語］--ポリネシア諸語：マオリ語，ヌクオロ語"
ndc9:829.46	"その他の東洋の諸言語--オーストロネシア諸語［マライ・ポリネシア諸語］--メラネシア諸語：フィジー語"
ndc9:829.47	"その他の東洋の諸言語--オーストロネシア諸語［マライ・ポリネシア諸語］--ミクロネシア諸語"
ndc9:829.5	"その他の東洋の諸言語--アルタイ諸語"
ndc9:829.53	"その他の東洋の諸言語--アルタイ諸語--ツングース諸語：女真語，満州語"
ndc9:829.531	"（その他の東洋の諸言語--ツングース諸語：女真語，満州語--女真文字）"
ndc9:829.55	"その他の東洋の諸言語--アルタイ諸語--モンゴル諸語：蒙古語［モンゴル語］，カルムイク語，ブリヤート語"
ndc9:829.551	"（その他の東洋の諸言語--モンゴル諸語：蒙古語［モンゴル語］，カルムイク語，ブリヤート語--契丹文字，蒙古文字）"
ndc9:829.57	"その他の東洋の諸言語--アルタイ諸語--チュルク諸語：トルコ語"
ndc9:829.58	"その他の東洋の諸言語--チュルク諸語：トルコ語--ウイグル語．突厥語"
ndc9:829.581	"（その他の東洋の諸言語--ウイグル語．突厥語--ウイグル文字）"
ndc9:829.6	"その他の東洋の諸言語--ドラヴィダ諸語：タミル語，テルグ語"
ndc9:829.69	"その他の東洋の諸言語--カフカース諸語：グルジア語"
ndc9:829.7	"その他の東洋の諸言語--セム・ハム諸語［アフロ・アジア諸語］"
ndc9:829.71	"その他の東洋の諸言語--セム・ハム諸語［アフロ・アジア諸語］--アッカド語：アッシリア語，バビロニア語"
ndc9:829.711	"（その他の東洋の諸言語--アッカド語：アッシリア語，バビロニア語--楔形文字）"
ndc9:829.72	"その他の東洋の諸言語--セム・ハム諸語［アフロ・アジア諸語］--カナン語群．フェニキア語"
ndc9:829.73	"その他の東洋の諸言語--セム・ハム諸語［アフロ・アジア諸語］--ヘブライ語"
ndc9:829.731	"（その他の東洋の諸言語--ヘブライ語--ヘブライ文字）"
ndc9:829.74	"その他の東洋の諸言語--セム・ハム諸語［アフロ・アジア諸語］--アラム語"
ndc9:829.741	"（その他の東洋の諸言語--アラム語--アラム文字）"
ndc9:829.75	"その他の東洋の諸言語--セム・ハム諸語［アフロ・アジア諸語］--シリア語"
ndc9:829.76	"その他の東洋の諸言語--セム・ハム諸語［アフロ・アジア諸語］--アラビア語"
ndc9:829.761	"（その他の東洋の諸言語--アラビア語--アラビア文字）"
ndc9:829.768	"（その他の東洋の諸言語--アラビア語--マルタ語）"
ndc9:829.78	"その他の東洋の諸言語--セム・ハム諸語［アフロ・アジア諸語］--エチオピア諸語：アムハラ語"
ndc9:829.8	"その他の東洋の諸言語--インド諸語"
ndc9:829.83	"その他の東洋の諸言語--インド諸語--ヒンディー語"
ndc9:829.85	"その他の東洋の諸言語--インド諸語--ウルドゥー語．パンジャーブ語．アッサム語 Urdu．Punjabi．Assamese"
ndc9:829.88	"その他の東洋の諸言語--インド諸語--サンスクリット［梵語］．ヴェーダ語"
ndc9:829.881	"（その他の東洋の諸言語--サンスクリット［梵語］．ヴェーダ語--悉曇文字，梵字）"
ndc9:829.89	"その他の東洋の諸言語--インド諸語--パーリ語．プラークリット"
ndc9:829.9	"その他の東洋の諸言語--イラン諸語 Iranian"
ndc9:829.93	"その他の東洋の諸言語--イラン諸語 Iranian--ペルシア語 Persian"
ndc9:829.98	"その他の東洋の諸言語--イラン諸語 Iranian--その他のイラン諸語：アヴェスタ語，オセット語，パシュトー語，クルド語"
ndc9:829.99	"その他の東洋の諸言語--アルメニア語．ヒッタイト語．トカラ語"
ndc9:83	"英語（綱目）"
ndc9:830	"英語"
ndc9:830.1	"英語--理論．英語学．英語学史"
ndc9:830.2	"英語--英語史"
ndc9:830.23	"英語--英語史--古代英語［アングロサクソン語］ ―1050"
ndc9:830.24	"英語--英語史--中世英語 1050―1450"
ndc9:830.25	"英語--英語史--近世英語 1450―"
ndc9:830.7	"（英語--英語教育）"
ndc9:830_840	"英語--ゲルマン諸語"
ndc9:831	"英語--音声．音韻．文字"
ndc9:831.1	"英語--音声．音韻．文字--音声．発音．音韻"
ndc9:831.2	"英語--音声．音韻．文字--母音．二重母音"
ndc9:831.3	"英語--音声．音韻．文字--子音"
ndc9:831.4	"英語--音声．音韻．文字--アクセント．イントネーション"
ndc9:831.5	"英語--音声．音韻．文字--正字法．綴字法"
ndc9:831.58	"英語--音声．音韻．文字--正字法．綴字法--綴字改良"
ndc9:831.6	"英語--音声．音韻．文字--略語．略語辞典"
ndc9:831.7	"英語--音声．音韻．文字--句読点"
ndc9:832	"英語--語源．意味"
ndc9:833	"英語--辞典"
ndc9:833.1	"英語--辞典--英英辞典"
ndc9:833.2	"英語--辞典--和英辞典"
ndc9:833.3	"英語--辞典--英和辞典"
ndc9:833.4	"英語--辞典--故事熟語辞典．慣用語辞典"
ndc9:833.5	"英語--辞典--類語辞典．同義語辞典．反義語辞典"
ndc9:833.6	"英語--辞典--古語辞典"
ndc9:833.7	"英語--辞典--新語辞典．時事英語辞典"
ndc9:833.9	"英語--辞典--隠語辞典．俗語辞典"
ndc9:834	"英語--語彙"
ndc9:834.3	"英語--語彙--基本語彙"
ndc9:834.4	"英語--語彙--熟語．慣用語"
ndc9:834.7	"英語--語彙--外来語"
ndc9:835	"英語--文法．語法"
ndc9:835.1	"英語--文法．語法--形態論．構文論［統語論］"
ndc9:835.2	"英語--文法．語法--名詞：性，数，格"
ndc9:835.28	"英語--文法．語法--名詞：性，数，格--冠詞"
ndc9:835.29	"英語--文法．語法--名詞：性，数，格--数詞"
ndc9:835.3	"英語--文法．語法--代名詞"
ndc9:835.4	"英語--文法．語法--形容詞"
ndc9:835.5	"英語--文法．語法--動詞：態，法，時制"
ndc9:835.58	"英語--文法．語法--動詞：態，法，時制--助動詞"
ndc9:835.59	"英語--文法．語法--動詞：態，法，時制--準動詞：不定詞，分詞，動名詞"
ndc9:835.6	"英語--文法．語法--不変化詞"
