ndc9:6	"産業（類目）"
ndc9:685.4	"陸運．自動車運送--駐車場．自動車ターミナル"
ndc9:685.5	"陸運．自動車運送--タクシー事業．バス事業"
ndc9:685.6	"陸運．自動車運送--トラック事業"
ndc9:685.7	"陸運．自動車運送--高速道路．自動車道"
ndc9:685.8	"陸運．自動車運送--軽車輌：オートバイ，自転車，荷馬車，人力車"
ndc9:685.9	"陸運．自動車運送--小運送．宅配便"
ndc9:686	"鉄道"
ndc9:686.1	"鉄道--鉄道政策・行政・法令"
ndc9:686.2	"鉄道--鉄道史・事情"
ndc9:686.3	"鉄道--鉄道経営"
ndc9:686.4	"鉄道--鉄道運賃：政策，賃率"
ndc9:686.5	"鉄道--旅客"
ndc9:686.6	"鉄道--貨物輸送"
ndc9:686.7	"鉄道--運行．操車．配車．列車運転．鉄道事故"
ndc9:686.9	"鉄道--路面電車．モノレール．ケーブルカー"
ndc9:687	"航空運送"
ndc9:687.1	"航空運送--航空政策・行政・法令"
ndc9:687.2	"航空運送--航空事業史・事情"
ndc9:687.3	"航空運送--航空業経営・金融・業務．航空路"
ndc9:687.4	"航空運送--航空運賃"
ndc9:687.5	"航空運送--旅客"
ndc9:687.6	"航空運送--貨物"
ndc9:687.7	"航空運送--運行．航空事故"
ndc9:687.9	"航空運送--空港"
ndc9:688	"倉庫業"
ndc9:688.1	"倉庫業--倉庫業政策・行政・法令"
ndc9:688.2	"倉庫業--倉庫業史・事情"
ndc9:688.3	"倉庫業--倉庫業経営・設備・金融・会計"
ndc9:688.4	"倉庫業--倉庫寄託．倉庫証券"
ndc9:688.5	"倉庫業--倉庫実務：受託，入庫，発券，保管，出庫，防災"
ndc9:688.6	"倉庫業--保管料［倉庫料金］"
ndc9:689	"観光事業"
ndc9:689.1	"観光事業--観光政策・行政・法令"
ndc9:689.2	"観光事業--観光事業史・事情"
ndc9:689.3	"観光事業--観光事業経営・宣伝"
ndc9:689.4	"観光事業--観光地計画．観光開発"
ndc9:689.5	"観光事業--遊園地事業．遊園地"
ndc9:689.6	"観光事業--旅行斡旋業．添乗員．ガイド"
ndc9:689.7	"観光事業--会館"
ndc9:689.8	"観光事業--ホテル．旅館．民宿．ペンション．貸別荘"
ndc9:689.9	"観光事業--国民保養施設．休暇村．国民宿舎"
ndc9:69	"通信事業（綱目）"
ndc9:690	"通信事業"
ndc9:691	"通信政策・行政・法令"
ndc9:692	"通信事業史・事情"
ndc9:692.9	"通信事業史・事情--通信地理"
ndc9:693	"郵便．郵政事業"
ndc9:693.1	"郵便．郵政事業--郵便政策・行政・法令・条約"
ndc9:693.2	"郵便．郵政事業--郵便史・事情"
ndc9:693.3	"郵便．郵政事業--郵便局：業務，職員"
ndc9:693.4	"郵便．郵政事業--小包郵便"
ndc9:693.5	"郵便．郵政事業--郵便送金"
ndc9:693.6	"郵便．郵政事業--電子郵便"
ndc9:693.7	"郵便．郵政事業--外国郵便．航空郵便"
ndc9:693.8	"郵便．郵政事業--郵便切手．はがき．スタンプ"
ndc9:693.9	"郵便．郵政事業--その他の通信：伝書鳩"
ndc9:694	"電気通信事業"
ndc9:694.1	"電気通信事業--電気通信政策・行政・法令・条約"
ndc9:694.2	"電気通信事業--電気通信史・事情"
ndc9:694.3	"電気通信事業--経営．業務．労務．財務．会計"
ndc9:694.4	"電気通信事業--電信：電報，テレックス"
ndc9:694.5	"電気通信事業--データ伝送"
ndc9:694.6	"電気通信事業--電話"
ndc9:694.7	"電気通信事業--国際電信電話"
ndc9:699	"放送事業：テレビ，ラジオ"
ndc9:699.1	"放送事業：テレビ，ラジオ--放送政策・行政・法令．受信料"
ndc9:699.2	"放送事業：テレビ，ラジオ--放送史・事情"
ndc9:699.3	"放送事業：テレビ，ラジオ--経営．業務．労務．財務"
ndc9:699.6	"放送事業：テレビ，ラジオ--放送番組：番組編成，視聴率"
ndc9:699.7	"放送事業：テレビ，ラジオ--有線放送：ケーブルテレビ"
ndc9:699.8	"放送事業：テレビ，ラジオ--放送と社会"
