ndc9:6	"産業（類目）"
ndc9:625.6	"果樹園芸--漿果類"
ndc9:625.7	"果樹園芸--堅果類"
ndc9:625.8	"果樹園芸--熱帯果樹"
ndc9:626	"蔬菜園芸"
ndc9:626.1	"〔蔬菜園芸--共通事項〕"
ndc9:626.2	"蔬菜園芸--果菜類：うり類，なす類，いちご類"
ndc9:626.3	"蔬菜園芸--莢菜類［豆類］"
ndc9:626.4	"蔬菜園芸--根菜類"
ndc9:626.5	"蔬菜園芸--葉菜類"
ndc9:626.6	"蔬菜園芸--花菜類：はなやさい"
ndc9:626.7	"蔬菜園芸--マッシュルーム"
ndc9:626.9	"蔬菜園芸--家庭菜園"
ndc9:627	"花卉園芸［草花］"
ndc9:627.1	"花卉園芸［草花］--共通事項"
ndc9:627.4	"花卉園芸［草花］--一二年草：あさがお，コスモス，ひまわり，ほうせんか"
ndc9:627.5	"花卉園芸［草花］--宿根草．多年草"
ndc9:627.6	"花卉園芸［草花］--球根草：カンナ，すいせん，ダリア，チューリップ，ゆり"
ndc9:627.7	"花卉園芸［草花］--観賞花木"
ndc9:627.8	"花卉園芸［草花］--盆栽．鉢植"
ndc9:627.9	"花卉園芸［草花］--花卉の利用"
ndc9:628	"園芸利用"
ndc9:628.2	"園芸利用--乾燥果実：干柿，干ぶどう"
ndc9:628.3	"園芸利用--ジャム類"
ndc9:628.4	"園芸利用--果汁"
ndc9:628.5	"園芸利用--トマト製品"
ndc9:628.7	"園芸利用--乾燥野菜"
ndc9:628.8	"園芸利用--漬物類"
ndc9:629	"造園"
ndc9:629.1	"造園--森林美学．造園美学．風致・風景論"
ndc9:629.2	"造園--庭園"
ndc9:629.3	"造園--公園．緑地"
ndc9:629.4	"造園--自然公園．国立・国定・公立公園"
ndc9:629.5	"造園--造園計画．公園設計．造園材料"
ndc9:629.6	"造園--公園土木・建築．庭園施設"
ndc9:629.7	"造園--造園植物"
ndc9:629.8	"造園--墓苑［霊園］"
ndc9:629.9	"造園--公園・庭園の維持管理"
ndc9:63	"蚕糸業（綱目）"
ndc9:630	"蚕糸業"
ndc9:630.1	"蚕糸業--蚕糸学．養蚕学"
ndc9:630.7	"（蚕糸業--蚕糸試験場）"
ndc9:631	"蚕糸経済・行政・経営"
ndc9:631.1	"蚕糸経済・行政・経営--蚕糸業政策・行政・法令"
ndc9:631.4	"蚕糸経済・行政・経営--まゆ・絹糸の生産費．価格．需給．取引"
ndc9:631.5	"蚕糸経済・行政・経営--蚕糸業金融．蚕糸業共済制度"
ndc9:631.6	"蚕糸経済・行政・経営--蚕糸業組合"
ndc9:631.7	"蚕糸経済・行政・経営--蚕糸業経営．蚕業労働"
ndc9:632	"蚕糸業史・事情"
ndc9:633	"蚕学．蚕業基礎学"
ndc9:633.1	"蚕学．蚕業基礎学--蚕体解剖学"
ndc9:633.2	"蚕学．蚕業基礎学--蚕体生理学"
ndc9:633.3	"蚕学．蚕業基礎学--蚕体遺伝学"
ndc9:633.4	"蚕学．蚕業基礎学--蚕体病理学．蚕病"
ndc9:633.5	"蚕学．蚕業基礎学--蚕の害虫．加害動物"
ndc9:633.6	"蚕学．蚕業基礎学--蚕卵．蚕児．蚕蛹．蚕蛾"
ndc9:633.7	"蚕学．蚕業基礎学--蚕業気象"
ndc9:633.8	"蚕学．蚕業基礎学--栽桑化学"
ndc9:634	"蚕種"
ndc9:634.2	"蚕種--蚕品種．蚕品種の改良．選種"
ndc9:634.4	"蚕種--蚕種の保護貯蔵．蚕種の冷蔵"
ndc9:634.5	"蚕種--蚕卵の催青法と孵化"
ndc9:634.6	"蚕種--人工孵化"
ndc9:634.9	"蚕種--採種．蚕種製造"
ndc9:635	"飼育法"
ndc9:635.2	"飼育法--掃立法"
ndc9:635.3	"飼育法--蚕の飼料．給桑法．調桑"
ndc9:635.4	"飼育法--稚蚕飼育"
ndc9:635.5	"飼育法--壮蚕飼育"
ndc9:635.6	"飼育法--上蔟．収繭"
ndc9:635.9	"飼育法--野蚕：柞蚕，天蚕，ヒマ蚕，アナフェ蚕"
ndc9:636	"くわ．栽桑"
ndc9:636.1	"くわ．栽桑--桑品種．育種．くわの交配と雑種"
ndc9:636.2	"くわ．栽桑--桑苗"
ndc9:636.3	"くわ．栽桑--栽植．仕立法．桑樹繁殖法"
ndc9:636.4	"くわ．栽桑--土壌．肥料．施肥"
ndc9:636.7	"くわ．栽桑--くわの病虫害．気象災害"
ndc9:636.8	"くわ．栽桑--くわの収穫法．貯桑"
ndc9:636.9	"くわ．栽桑--桑園の管理・経営"
ndc9:637	"蚕室．蚕具"
ndc9:638	"まゆ"
ndc9:639	"製糸．生糸．蚕糸利用"
ndc9:639.1	"製糸．生糸．蚕糸利用--絹の性質．絹糸物理．絹糸化学"
ndc9:639.2	"製糸．生糸．蚕糸利用--原料まゆ．選繭法"
ndc9:639.3	"製糸．生糸．蚕糸利用--煮繭法"
ndc9:639.4	"製糸．生糸．蚕糸利用--繰糸法．器械糸．座繰糸．揚返．仕上"
ndc9:639.5	"製糸．生糸．蚕糸利用--製糸機械．用水"
ndc9:639.6	"製糸．生糸．蚕糸利用--生糸品質・検査・格付"
ndc9:639.7	"製糸．生糸．蚕糸利用--絹の加工"
ndc9:639.8	"製糸．生糸．蚕糸利用--特殊生糸：玉糸，野蚕糸"
ndc9:639.9	"製糸．生糸．蚕糸利用--蚕糸副産物：桑条，蚕沙，蚕蛹"
ndc9:64	"畜産業（綱目）"
ndc9:640	"畜産業"
ndc9:640.1	"畜産業--畜産学．酪農学"
ndc9:640.7	"（畜産業--畜産試験場）"
ndc9:641	"畜産経済・行政・経営"
ndc9:641.1	"畜産経済・行政・経営--畜産政策・行政・法令"
ndc9:641.4	"畜産経済・行政・経営--畜産物市場・価格．家畜市場"
ndc9:641.5	"畜産経済・行政・経営--畜産業金融．家畜保険"
ndc9:641.6	"畜産経済・行政・経営--畜産業組合"
ndc9:641.7	"畜産経済・行政・経営--畜産経営．牧野・牧場経営．酪農"
ndc9:642	"畜産史・事情"
ndc9:643	"家畜の繁殖．家畜飼料"
ndc9:643.1	"家畜の繁殖．家畜飼料--家畜の育種．品種改良"
ndc9:643.2	"家畜の繁殖．家畜飼料--家畜の繁殖．人工受精"
ndc9:643.3	"家畜の繁殖．家畜飼料--家畜の栄養．給餌法"
ndc9:643.4	"家畜の繁殖．家畜飼料--家畜飼料：濃厚飼料，粗飼料"
ndc9:643.5	"家畜の繁殖．家畜飼料--草地．牧野"
ndc9:643.9	"家畜の繁殖．家畜飼料--サイレージ"
ndc9:644	"家畜の管理．畜舎．用具"
ndc9:645	"家畜・畜産動物各論"
ndc9:645.2	"家畜・畜産動物各論--馬"
ndc9:645.3	"家畜・畜産動物各論--牛：役牛，肉牛，乳牛，犢牛，和牛"
ndc9:645.4	"家畜・畜産動物各論--緬羊．やぎ"
ndc9:645.5	"家畜・畜産動物各論--豚．養豚業"
ndc9:645.6	"家畜・畜産動物各論--犬"
ndc9:645.7	"家畜・畜産動物各論--猫"
ndc9:645.9	"家畜・畜産動物各論--愛玩動物［ペット］"
ndc9:646	"家禽各論．飼鳥"
ndc9:646.1	"家禽各論．飼鳥--にわとり．養鶏業"
ndc9:646.2	"家禽各論．飼鳥--七面鳥．雉．ほろほろ鳥．駝鳥"
ndc9:646.3	"家禽各論．飼鳥--くじゃく"
ndc9:646.4	"家禽各論．飼鳥--うずら"
ndc9:646.5	"家禽各論．飼鳥--はと"
ndc9:646.7	"家禽各論．飼鳥--あひる．がちょう"
ndc9:646.8	"家禽各論．飼鳥--小鳥：愛玩用"
ndc9:646.9	"家禽各論．飼鳥--みつばち．養蜂．昆虫"
ndc9:647	"みつばち．昆虫"
ndc9:647.1	"みつばち．昆虫--養蜂の経済・経営"
ndc9:647.2	"みつばち．昆虫--みつばちの繁殖．蜜源と蜜用植物"
ndc9:647.3	"みつばち．昆虫--巣箱．用具"
ndc9:647.4	"みつばち．昆虫--管理"
ndc9:647.5	"みつばち．昆虫--病害と保護"
ndc9:647.6	"みつばち．昆虫--蜂蜜．蜜製品．蜜蝋"
ndc9:647.9	"みつばち．昆虫--昆虫の飼育：すずむし，かぶとむし"
ndc9:648	"畜産製造．畜産物"
ndc9:648.1	"畜産製造．畜産物--牛乳と乳製品．乳業"
ndc9:648.2	"畜産製造．畜産物--肉と肉製品"
ndc9:648.3	"畜産製造．畜産物--卵と卵製品"
ndc9:648.9	"畜産製造．畜産物--畜産動物の副産物"
ndc9:649	"獣医学．比較医学"
ndc9:649.1	"獣医学．比較医学--獣医解剖学・組織学・発生学"
ndc9:649.2	"獣医学．比較医学--獣医生理学・生化学・薬理学"
ndc9:649.4	"獣医学．比較医学--獣医病理学・微生物学・免疫学・寄生虫学"
ndc9:649.5	"獣医学．比較医学--獣医診断学・内科学・伝染病学"
ndc9:649.6	"獣医学．比較医学--獣医外科学・眼科学・耳鼻咽喉科学・歯科学．装蹄学"
ndc9:649.7	"獣医学．比較医学--獣医産科学．獣医臨床繁殖学"
ndc9:649.8	"獣医学．比較医学--家畜衛生．獣医公衆衛生"
ndc9:649.9	"獣医学．比較医学--家畜薬学．動物薬事"
ndc9:65	"林業（綱目）"
ndc9:650	"林業"
ndc9:650.1	"林業--林学．森林生産学"
ndc9:650.7	"（林業--演習林）"
ndc9:651	"林業経済・行政・経営"
ndc9:651.1	"林業経済・行政・経営--森林政策［林政学］・行政・法令"
ndc9:651.2	"林業経済・行政・経営--林政史"
ndc9:651.3	"林業経済・行政・経営--森林地主．林地価"
ndc9:651.4	"林業経済・行政・経営--林産物市場・価格．木材市場・商業"
ndc9:651.5	"林業経済・行政・経営--森林金融．森林保険"
ndc9:651.6	"林業経済・行政・経営--森林組合"
ndc9:651.7	"林業経済・行政・経営--森林経営管理．林業労働"
ndc9:651.8	"林業経済・行政・経営--森林数学．森林計算・会計．林価算法．森林較利学"
ndc9:651.9	"林業経済・行政・経営--農家林業．山村問題"
ndc9:652	"森林史．林業史・事情"
ndc9:652.9	"森林史．林業史・事情--森林地理"
ndc9:653	"森林立地．造林"
ndc9:653.1	"森林立地．造林--林地学．地質．地形．土壌．肥料．気象"
ndc9:653.2	"森林立地．造林--森林植物．樹木"
ndc9:653.3	"森林立地．造林--樹芸．樹種．種苗．苗木．苗圃"
ndc9:653.4	"森林立地．造林--人工造林．天然更新"
ndc9:653.5	"森林立地．造林--撫育作業：除伐，間伐，枝打"
ndc9:653.6	"森林立地．造林--針葉樹：まつ，すぎ，まき，ひのき"
ndc9:653.7	"森林立地．造林--広葉樹：やなぎ，ポプラ，くるみ，かば，ぶな，けやき"
ndc9:653.8	"森林立地．造林--単子葉樹．竹．特用樹種"
ndc9:653.9	"森林立地．造林--保安林の造林"
ndc9:654	"森林保護"
ndc9:654.2	"森林保護--人為的な加害：森林犯罪，盗伐"
ndc9:654.3	"森林保護--煙害"
ndc9:654.4	"森林保護--森林火災"
