ndc9:024.9	"図書の販売--図書の収集．愛書家．蔵書記．蔵書票．蔵書印譜"
ndc9:025	"一般書誌．全国書誌"
ndc9:025.1	"（一般書誌．全国書誌--日本全国書誌）"
ndc9:025.8	"一般書誌．全国書誌--地方書誌．郷土資料目録"
ndc9:025.9	"一般書誌．全国書誌--書店出版目録．古本販売目録"
ndc9:026	"稀書目録．善本目録"
ndc9:026.2	"稀書目録．善本目録--古写本．自筆本"
ndc9:026.3	"稀書目録．善本目録--古刊本"
ndc9:026.4	"稀書目録．善本目録--初版本．限定本"
ndc9:026.5	"稀書目録．善本目録--手沢本．書入本"
ndc9:026.7	"稀書目録．善本目録--珍奇本：珍奇材料本，珍奇挿画本，珍奇装丁本，豆本"
ndc9:026.9	"稀書目録．善本目録--刊本目録＜一般＞"
ndc9:027	"特種目録"
ndc9:027.1	"特種目録--勅版目録．官版目録．藩版目録"
ndc9:027.2	"特種目録--政府出版物および団体出版物目録"
ndc9:027.3	"特種目録--諸家著述目録"
ndc9:027.4	"特種目録--叢書類目録および索引．論文集の目録および索引"
ndc9:027.5	"特種目録--逐次刊行物目録および索引"
ndc9:027.6	"特種目録--禁止図書目録．散佚図書目録．焼失図書目録"
ndc9:027.7	"特種目録--図書展示目録"
ndc9:027.8	"特種目録--その他：点本書目，舶載書目"
ndc9:027.9	"特種目録--非図書資料目録：視聴覚資料目録，地図目録"
ndc9:028	"選定図書目録．参考図書目録"
ndc9:029	"蔵書目録．総合目録"
ndc9:029.1	"蔵書目録．総合目録--国立図書館"
ndc9:029.2	"蔵書目録．総合目録--公共図書館"
ndc9:029.3	"蔵書目録．総合目録--官公庁および地方議会図書館"
ndc9:029.4	"蔵書目録．総合目録--団体・企業内の図書館"
ndc9:029.5	"蔵書目録．総合目録--病院図書館．矯正図書館"
ndc9:029.6	"蔵書目録．総合目録--専門図書館．研究所・調査機関の図書館"
ndc9:029.7	"蔵書目録．総合目録--大学図書館．学校図書館"
ndc9:029.8	"蔵書目録．総合目録--社寺文庫．旧藩文庫"
ndc9:029.9	"蔵書目録．総合目録--個人文庫．家蔵"
ndc9:03	"百科事典（綱目）"
ndc9:030	"百科事典"
ndc9:031	"百科事典--日本語"
ndc9:031.2	"百科事典--日本語--類書"
ndc9:031.3	"百科事典--日本語--日用便覧"
ndc9:031.4	"百科事典--日本語--事物起原"
ndc9:031.5	"百科事典--日本語--名数．番付"
ndc9:031.7	"百科事典--日本語--クイズ集．なぞなぞ集"
ndc9:031.8	"百科事典--日本語--簡易百科事典"
ndc9:032	"百科事典--中国語"
ndc9:032.2	"百科事典--中国語--類書"
ndc9:032.3	"百科事典--中国語--日用便覧"
ndc9:032.4	"百科事典--中国語--事物起原"
ndc9:032.5	"百科事典--中国語--名数．番付"
ndc9:032.9	"百科事典--中国語--東洋の諸言語"
ndc9:033	"百科事典--英語"
ndc9:034	"百科事典--ドイツ語"
ndc9:034.9	"百科事典--ドイツ語--その他のゲルマン諸語"
ndc9:035	"百科事典--フランス語"
ndc9:036	"百科事典--スペイン語"
ndc9:036.9	"百科事典--スペイン語--ポルトガル語"
ndc9:037	"百科事典--イタリア語"
ndc9:038	"百科事典--ロシア語"
ndc9:038.9	"百科事典--ロシア語--その他のスラヴ語"
ndc9:039	"用語索引＜一般＞"
ndc9:04	"一般論文集．一般講演集（綱目）"
ndc9:040	"一般論文集．一般講演集"
ndc9:041	"一般論文集．一般講演集--日本語"
ndc9:041.3	"一般論文集．一般講演集--日本語--記念論文集"
ndc9:042	"一般論文集．一般講演集--中国語"
ndc9:043	"一般論文集．一般講演集--英語"
ndc9:044	"一般論文集．一般講演集--ドイツ語"
ndc9:045	"一般論文集．一般講演集--フランス語"
ndc9:046	"一般論文集．一般講演集--スペイン語"
ndc9:047	"一般論文集．一般講演集--イタリア語"
ndc9:048	"一般論文集．一般講演集--ロシア語"
ndc9:049	"雑著"
ndc9:05	"逐次刊行物（綱目）"
ndc9:050	"逐次刊行物"
ndc9:051	"逐次刊行物--日本の雑誌"
ndc9:051.1	"逐次刊行物--日本の雑誌--学術雑誌．紀要"
ndc9:051.3	"逐次刊行物--日本の雑誌--総合雑誌"
ndc9:051.4	"逐次刊行物--日本の雑誌--グラフィック報道誌"
ndc9:051.6	"逐次刊行物--日本の雑誌--大衆誌．娯楽誌"
ndc9:051.7	"逐次刊行物--日本の雑誌--女性誌．家庭誌"
ndc9:051.8	"逐次刊行物--日本の雑誌--幼児誌．青少年誌"
ndc9:051.9	"逐次刊行物--日本の雑誌--情報誌＜一般＞"
ndc9:052	"逐次刊行物--中国語"
ndc9:053	"逐次刊行物--英語"
ndc9:054	"逐次刊行物--ドイツ語"
ndc9:055	"逐次刊行物--フランス語"
ndc9:056	"逐次刊行物--スペイン語"
ndc9:057	"逐次刊行物--イタリア語"
ndc9:058	"逐次刊行物--ロシア語"
ndc9:059	"一般年鑑"
ndc9:06	"団体：学会，協会，会議（綱目）"
ndc9:060	"団体：学会，協会，会議"
ndc9:061	"学術・研究機関"
ndc9:063	"文化交流機関"
ndc9:065	"親睦団体．その他の団体"
ndc9:069	"博物館"
ndc9:069.1	"博物館--博物館行財政・法令"
ndc9:069.2	"博物館--博物館建築．博物館設備"
ndc9:069.3	"博物館--博物館管理．博物館職員"
ndc9:069.4	"博物館--資料の収集．資料の整理．資料の保管"
ndc9:069.5	"博物館--資料の展示．資料の利用．資料・展示の宣伝"
ndc9:069.6	"博物館--一般博物館"
ndc9:069.7	"博物館--学校博物館"
ndc9:069.8	"博物館--専門博物館"
ndc9:069.9	"博物館--博物館収集品目録・図録"
ndc9:07	"ジャーナリズム．新聞（綱目）"
ndc9:070	"ジャーナリズム．新聞"
ndc9:070.1	"ジャーナリズム．新聞--ジャーナリズム・新聞の理論：新聞学"
ndc9:071	"ジャーナリズム．新聞--日本"
ndc9:072	"ジャーナリズム．新聞--アジア"
ndc9:073	"ジャーナリズム．新聞--ヨーロッパ"
ndc9:074	"ジャーナリズム．新聞--アフリカ"
ndc9:075	"ジャーナリズム．新聞--北アメリカ"
ndc9:076	"ジャーナリズム．新聞--南アメリカ"
ndc9:077	"ジャーナリズム．新聞--オセアニア．両極地方"
ndc9:08	"叢書．全集．選集（綱目）"
ndc9:080	"叢書．全集．選集"
ndc9:081	"叢書．全集．選集--日本語"
ndc9:081.2	"叢書．全集．選集--日本語--地方叢書"
ndc9:081.5	"叢書．全集．選集--日本語--全集・選集＜江戸およびそれ以前の個人著作集＞"
ndc9:081.6	"叢書．全集．選集--日本語--全集・選集＜明治以後の個人著作集＞"
ndc9:081.7	"叢書．全集．選集--日本語--影印本の叢書"
ndc9:081.9	"叢書．全集．選集--日本語--児童図書の叢書"
ndc9:082	"叢書．全集．選集--中国語"
ndc9:082.2	"叢書．全集．選集--中国語--地方叢書"
ndc9:082.5	"叢書．全集．選集--中国語--全集＜清朝以前の一人，一姓の全集＞"
ndc9:082.6	"叢書．全集．選集--中国語--全集＜民国以後の一人，一姓の全集＞"
ndc9:082.7	"叢書．全集．選集--中国語--影印本の叢書．散佚書の叢書"
ndc9:083	"叢書．全集．選集--英語"
ndc9:084	"叢書．全集．選集--ドイツ語"
ndc9:085	"叢書．全集．選集--フランス語"
ndc9:086	"叢書．全集．選集--スペイン語"
ndc9:087	"叢書．全集．選集--イタリア語"
ndc9:088	"叢書．全集．選集--ロシア語"
ndc9:089	"叢書．全集．選集--その他の諸言語"
ndc9:09	"貴重書．郷土資料．その他の特別コレクション（綱目）"
ndc9:090	"貴重書．郷土資料．その他の特別コレクション"
