ndc9:519.7	"公害．環境工学--産業廃棄物"
ndc9:519.8	"公害．環境工学--環境保全．自然保護"
ndc9:519.9	"公害．環境工学--防災科学．防災工学＜一般＞"
ndc9:52	"建築学（綱目）"
ndc9:520	"建築学"
ndc9:520.1	"（建築学--建築美学）"
ndc9:520.2	"（建築学--建築史）"
ndc9:520.7	"建築学--研究法．指導法．建築教育"
ndc9:520.8	"建築学--叢書．全集．選集"
ndc9:520.9	"建築学--建築業．建築経済"
ndc9:521	"日本の建築"
ndc9:521.2	"日本の建築--原始時代 ―551"
ndc9:521.3	"日本の建築--古代：大和時代，奈良時代，平安時代"
ndc9:521.4	"日本の建築--中世"
ndc9:521.5	"日本の建築--近世：江戸時代 1615―1868"
ndc9:521.6	"日本の建築--近代：明治・大正・昭和・平成時代 1868―"
ndc9:521.8	"日本の建築--各種の日本建築．国宝・重要文化財の建造物"
ndc9:521.9	"日本の建築--洋館"
ndc9:522	"東洋の建築．アジアの建築"
ndc9:522.1	"東洋の建築．アジアの建築--朝鮮"
ndc9:522.2	"東洋の建築．アジアの建築--中国"
ndc9:522.3	"東洋の建築．アジアの建築--東南アジア"
ndc9:522.5	"東洋の建築．アジアの建築--インド"
ndc9:522.6	"東洋の建築．アジアの建築--西南アジア"
ndc9:522.7	"東洋の建築．アジアの建築--西南アジア"
ndc9:522.9	"東洋の建築．アジアの建築--中央アジア．北アジア"
ndc9:523	"西洋の建築．その他の様式の建築"
ndc9:523.1	"（西洋の建築．その他の様式の建築--洋館）"
ndc9:524	"建築構造"
ndc9:524.1	"建築構造--構造力学．建築力学"
ndc9:524.2	"建築構造--建築材料"
ndc9:524.3	"建築構造--基礎．地業"
ndc9:524.4	"建築構造--ブロック構造．組積構造"
ndc9:524.5	"建築構造--木構造．木造建築．架構式構造"
ndc9:524.6	"建築構造--鉄骨構造"
ndc9:524.7	"建築構造--鉄骨コンクリート構造．鉄筋コンクリート構造．一体式構造"
ndc9:524.8	"建築構造--各部構造．構造部分と構造要素"
ndc9:524.9	"建築構造--防災構造"
ndc9:525	"建築計画・施工"
ndc9:525.1	"建築計画・施工--建築計画・設計"
ndc9:525.2	"建築計画・施工--規矩術"
ndc9:525.3	"建築計画・施工--仕様．積算．建築費"
ndc9:525.5	"建築計画・施工--建築工事．施工各論"
ndc9:525.6	"建築計画・施工--施工機械"
ndc9:525.8	"建築計画・施工--建物の維持・管理"
ndc9:526	"各種の建築"
ndc9:526.2	"（各種の建築--記念堂）"
ndc9:526.3	"（各種の建築--公共建築，事務所建築）"
ndc9:526.4	"（各種の建築--研究所）"
ndc9:526.5	"（各種の建築--工場建築）"
ndc9:526.7	"（各種の建築--美術館）"
ndc9:526.9	"各種の建築--高層建築．ビルディング＜一般＞"
ndc9:527	"住宅建築"
ndc9:527.1	"住宅建築--設計．敷地．間取"
ndc9:527.2	"住宅建築--玄関．広間．廊下．階段．地下室"
ndc9:527.3	"住宅建築--台所．食堂．納戸"
ndc9:527.4	"住宅建築--居間．床の間．寝室．書斎．応接室"
ndc9:527.5	"住宅建築--子供室．老人室"
ndc9:527.6	"住宅建築--浴室．化粧室．手洗所"
ndc9:527.7	"住宅建築--別荘．バンガロー"
ndc9:527.8	"住宅建築--共同住宅．集合住宅．アパート"
ndc9:527.9	"住宅建築--寄宿舎．寮"
ndc9:528	"建築設備．設備工学"
ndc9:528.1	"建築設備．設備工学--衛生設備：給水・排水，給湯，便所，衛生器具"
ndc9:528.2	"建築設備．設備工学--空気調和．暖房．冷房．換気設備"
ndc9:528.3	"建築設備．設備工学--煙突．煙道"
ndc9:528.4	"建築設備．設備工学--エネルギー設備"
ndc9:528.5	"建築設備．設備工学--機械・運搬設備：リフト，エレベータ，エスカレータ，気送管"
ndc9:528.6	"建築設備．設備工学--消火設備・機器．盗難防止施設"
ndc9:528.7	"建築設備．設備工学--厨房設備"
ndc9:528.8	"建築設備．設備工学--色彩調節"
ndc9:529	"建築意匠・装飾"
ndc9:53	"機械工学（綱目）"
ndc9:530	"機械工学"
ndc9:530.7	"（機械工学--ドイツ語 (機械工学用)）"
ndc9:530.9	"機械工学--機械工業：生産と流通"
