ndc9:426.5	"熱学--熱力学"
ndc9:426.7	"熱学--低温物理学．極低温"
ndc9:426.8	"熱学--高温物理学"
ndc9:426.9	"熱学--応用熱学"
ndc9:427	"電磁気学"
ndc9:427.1	"電磁気学--電磁気の理論：陰電気，電子，陽電気"
ndc9:427.2	"電磁気学--電気磁気測定"
ndc9:427.3	"電磁気学--静電気学：電荷，誘電体，パイロ電気，ピエゾ電気"
ndc9:427.4	"電磁気学--動電気学．電気力学：電流，熱電気，界面動電現象"
ndc9:427.5	"電磁気学--電子とイオンの現象．放電．放射線"
ndc9:427.6	"電磁気学--電磁流体力学"
ndc9:427.7	"電磁気学--電気振動．電磁波"
ndc9:427.8	"電磁気学--磁気学：磁化現象，磁気共鳴"
ndc9:427.9	"電磁気学--地磁気"
ndc9:428	"物性物理学"
ndc9:428.1	"物性物理学--分子論．分子物理学．高分子物理学"
ndc9:428.2	"物性物理学--気体論．気体の分子運動論"
ndc9:428.3	"物性物理学--液体論．レオロジー．溶液論"
ndc9:428.4	"物性物理学--固体論：電子論，原子論"
ndc9:428.8	"物性物理学--誘電体．半導体"
ndc9:428.9	"物性物理学--磁性体．強磁体．磁石"
ndc9:429	"原子物理学"
ndc9:429.1	"原子物理学--原子の理論．原子模型"
ndc9:429.2	"原子物理学--実験装置・測定．計数管．粒子加速器"
ndc9:429.4	"原子物理学--放射能"
ndc9:429.5	"原子物理学--原子核．核エネルギー．核模型"
ndc9:429.6	"原子物理学--素粒子"
ndc9:43	"化学（綱目）"
ndc9:430	"化学"
ndc9:430.2	"（化学--錬金術）"
ndc9:430.7	"（化学--化学計算，計算法＞化学計算法）"
ndc9:431	"物理化学．理論化学"
ndc9:431.1	"物理化学．理論化学--化学構造．分子構造"
ndc9:431.2	"物理化学．理論化学--化学量論"
ndc9:431.3	"物理化学．理論化学--化学反応"
ndc9:431.5	"物理化学．理論化学--光化学．放射線化学"
ndc9:431.6	"物理化学．理論化学--熱化学．化学熱力学"
ndc9:431.7	"物理化学．理論化学--電気化学"
ndc9:431.8	"物理化学．理論化学--コロイド化学．界面化学．吸着現象"
ndc9:431.9	"物理化学．理論化学--高分子化学"
ndc9:432	"実験化学［化学実験法］"
ndc9:432.1	"実験化学［化学実験法］--化学実験室．実験操作"
ndc9:432.2	"実験化学［化学実験法］--物理的操作"
ndc9:432.3	"実験化学［化学実験法］--化学的操作：乾溜"
ndc9:432.4	"実験化学［化学実験法］--物理化学実験"
ndc9:432.5	"実験化学［化学実験法］--無機化学実験"
ndc9:432.7	"実験化学［化学実験法］--有機化学実験"
ndc9:433	"分析化学［化学分析］"
ndc9:433.1	"分析化学［化学分析］--定性分析"
ndc9:433.2	"分析化学［化学分析］--定量分析：重量分析，容量分析"
ndc9:433.4	"分析化学［化学分析］--分離分析：毛管分析，イオン交換分離"
ndc9:433.5	"分析化学［化学分析］--光分析"
ndc9:433.6	"分析化学［化学分析］--電気分析"
ndc9:433.7	"分析化学［化学分析］--ガス分析"
ndc9:433.8	"分析化学［化学分析］--無機物質の分析"
ndc9:433.9	"分析化学［化学分析］--有機物質の分析"
ndc9:434	"合成化学［化学合成］"
ndc9:434.1	"合成化学［化学合成］--高温．低温．高圧"
ndc9:434.2	"合成化学［化学合成］--置換反応"
ndc9:434.3	"合成化学［化学合成］--転位反応．転位理論"
ndc9:434.4	"合成化学［化学合成］--付加反応．脱離反応"
ndc9:434.5	"合成化学［化学合成］--縮合反応．重合反応"
ndc9:434.6	"合成化学［化学合成］--特殊合成：ハロゲン化，ニトロ化，アミノ化，酸化，還元"
ndc9:435	"無機化学"
ndc9:435.1	"無機化学--非金属元素"
ndc9:435.2	"無機化学--稀ガス元素"
ndc9:435.3	"無機化学--ハロゲン元素とその化合物"
ndc9:435.4	"無機化学--酸素族元素とその化合物"
ndc9:435.5	"無機化学--窒素族元素とその化合物"
ndc9:435.6	"無機化学--炭素とその化合物 C"
ndc9:435.7	"無機化学--ケイ素とその化合物 Si"
ndc9:435.8	"無機化学--ホウ素とその化合物 B"
ndc9:436	"金属元素とその化合物"
ndc9:436.1	"金属元素とその化合物--第1族元素：アルカリ金属．第11族元素：銅族元素"
ndc9:436.2	"金属元素とその化合物--第2族元素：アルカリ土類金属．第12族元素：亜鉛族元素"
ndc9:436.3	"金属元素とその化合物--第3族元素：土類金属．第13族元素：希土類元素"
ndc9:436.4	"金属元素とその化合物--第4族元素．第14族元素"
ndc9:436.5	"金属元素とその化合物--第5族元素．第15族元素"
ndc9:436.6	"金属元素とその化合物--第6族元素．第16族元素"
ndc9:436.7	"金属元素とその化合物--第7族元素：マンガン族"
ndc9:436.8	"金属元素とその化合物--第8・9族元素：鉄族．第10族元素：白金族元素"
ndc9:437	"有機化学"
ndc9:437.1	"有機化学--鎖式化合物［脂肪族化合物．非環式化合物］"
ndc9:437.2	"有機化学--炭化水素"
ndc9:437.3	"有機化学--オキシ化合物．アルコール．エーテル"
ndc9:437.4	"有機化学--オキソ化合物．アルデヒド．ケトン"
ndc9:437.5	"有機化学--カルボン酸：蟻酸，酢酸，酪酸"
ndc9:437.6	"有機化学--硫黄化合物：スルフィン酸，スルフォン酸"
ndc9:437.7	"有機化学--窒素化合物：アミン，アミド"
ndc9:437.8	"有機化学--有機金属化合物とその類似化合物"
ndc9:438	"環式化合物の化学"
