ndc9:2	"歴史（類目）"
ndc9:287.1	"（オセアニア．両極地方--オーストラリア人）"
ndc9:287.2	"（オセアニア．両極地方--ニュージーランド人）"
ndc9:288	"伝記--系譜．家史．皇室"
ndc9:288.1	"伝記--系譜．家史．皇室--姓氏"
ndc9:288.2	"伝記--系譜．家史．皇室--系譜［家系図］"
ndc9:288.3	"伝記--系譜．家史．皇室--家史［家伝］"
ndc9:288.4	"伝記--系譜．家史．皇室--皇室"
ndc9:288.5	"伝記--系譜．家史．皇室--華族．爵位"
ndc9:288.6	"伝記--系譜．家史．皇室--紋章［家紋］"
ndc9:288.9	"伝記--系譜．家史．皇室--旗：国旗，団体旗，徽章"
ndc9:289	"伝記--個人伝記"
ndc9:29	"地理．地誌．紀行（綱目）"
ndc9:290	"地理．地誌．紀行"
ndc9:290.1	"地理．地誌．紀行--地理学．人文地理学．地誌学"
ndc9:290.2	"地理．地誌．紀行--史跡・名勝．景観"
ndc9:290.3	"地理．地誌．紀行--参考図書［レファレンス ブック］"
ndc9:290.7	"（地理．地誌．紀行--郷土教育，地理教育）"
ndc9:290.9	"地理．地誌．紀行--紀行"
ndc9:291	"地理．地誌．紀行--日本"
ndc9:291.1	"地理．地誌．紀行--日本--北海道地方"
ndc9:291.2	"地理．地誌．紀行--日本--東北地方"
ndc9:291.3	"地理．地誌．紀行--日本--関東地方"
ndc9:291.4	"地理．地誌．紀行--日本--北陸地方"
ndc9:291.5	"地理．地誌．紀行--日本--中部地方：東山・東海地方"
ndc9:291.6	"地理．地誌．紀行--日本--近畿地方"
ndc9:291.7	"地理．地誌．紀行--日本--中国地方"
ndc9:291.8	"地理．地誌．紀行--日本--四国地方"
ndc9:291.9	"地理．地誌．紀行--日本--九州地方"
ndc9:292	"地理．地誌．紀行--アジア"
ndc9:292.1	"地理．地誌．紀行--アジア--朝鮮"
ndc9:292.2	"地理．地誌．紀行--アジア--中国"
ndc9:292.3	"地理．地誌．紀行--アジア--東南アジア"
ndc9:292.4	"地理．地誌．紀行--アジア--インドネシア"
ndc9:292.5	"地理．地誌．紀行--アジア--インド"
ndc9:292.7	"地理．地誌．紀行--アジア--西南アジア．中東"
ndc9:292.9	"地理．地誌．紀行--アジア--アジア・ロシア"
ndc9:293	"地理．地誌．紀行--ヨーロッパ"
ndc9:293.3	"地理．地誌．紀行--ヨーロッパ--イギリス．英国"
ndc9:293.4	"地理．地誌．紀行--ヨーロッパ--ドイツ．中欧"
ndc9:293.5	"地理．地誌．紀行--ヨーロッパ--フランス"
ndc9:293.6	"地理．地誌．紀行--ヨーロッパ--スペイン"
ndc9:293.7	"地理．地誌．紀行--ヨーロッパ--イタリア"
ndc9:293.8	"地理．地誌．紀行--ヨーロッパ--ロシア"
ndc9:293.9	"地理．地誌．紀行--ヨーロッパ--バルカン諸国"
ndc9:294	"地理．地誌．紀行--アフリカ"
ndc9:294.1	"地理．地誌．紀行--アフリカ--北アフリカ"
ndc9:294.2	"地理．地誌．紀行--アフリカ--エジプト"
ndc9:294.3	"地理．地誌．紀行--アフリカ--バーバリ諸国"
ndc9:294.4	"地理．地誌．紀行--アフリカ--西アフリカ"
ndc9:294.5	"地理．地誌．紀行--アフリカ--東アフリカ"
ndc9:294.8	"地理．地誌．紀行--アフリカ--南アフリカ"
ndc9:294.9	"地理．地誌．紀行--アフリカ--インド洋のアフリカ諸島"
ndc9:295	"地理．地誌．紀行--北アメリカ"
ndc9:295.1	"地理．地誌．紀行--北アメリカ--カナダ"
ndc9:295.3	"地理．地誌．紀行--北アメリカ--アメリカ合衆国"
ndc9:295.5	"地理．地誌．紀行--北アメリカ--ラテン・アメリカ"
ndc9:295.6	"地理．地誌．紀行--北アメリカ--メキシコ"
ndc9:295.7	"地理．地誌．紀行--北アメリカ--中央アメリカ"
ndc9:295.9	"地理．地誌．紀行--北アメリカ--西インド諸島"
ndc9:296	"地理．地誌．紀行--南アメリカ"
ndc9:296.1	"地理．地誌．紀行--南アメリカ--北部諸国"
ndc9:296.2	"地理．地誌．紀行--南アメリカ--ブラジル"
ndc9:296.3	"地理．地誌．紀行--南アメリカ--パラグアイ"
ndc9:296.4	"地理．地誌．紀行--南アメリカ--ウルグアイ"
ndc9:296.5	"地理．地誌．紀行--南アメリカ--アルゼンチン"
ndc9:296.6	"地理．地誌．紀行--南アメリカ--チリ"
ndc9:296.7	"地理．地誌．紀行--南アメリカ--ボリビア"
ndc9:296.8	"地理．地誌．紀行--南アメリカ--ペルー"
ndc9:297	"地理．地誌．紀行--オセアニア．両極地方"
ndc9:297.1	"地理．地誌．紀行--オセアニア．両極地方--オーストラリア"
ndc9:297.2	"地理．地誌．紀行--オセアニア．両極地方--ニュージーランド"
ndc9:297.3	"地理．地誌．紀行--オセアニア．両極地方--メラネシア"
ndc9:297.4	"地理．地誌．紀行--オセアニア．両極地方--ミクロネシア"
ndc9:297.5	"地理．地誌．紀行--オセアニア．両極地方--ポリネシア"
ndc9:297.6	"地理．地誌．紀行--オセアニア．両極地方--ハワイ"
ndc9:297.7	"地理．地誌．紀行--オセアニア．両極地方--両極地方"
ndc9:297.8	"地理．地誌．紀行--オセアニア．両極地方--北極．北極地方"
ndc9:297.9	"地理．地誌．紀行--オセアニア．両極地方--南極．南極地方"
ndc9:299	"地理．地誌．紀行--海洋"
ndc9:299.1	"地理．地誌．紀行--海洋--太平洋"
ndc9:299.2	"地理．地誌．紀行--海洋--北太平洋"
ndc9:299.3	"地理．地誌．紀行--海洋--南太平洋"
ndc9:299.4	"地理．地誌．紀行--海洋--インド洋"
ndc9:299.5	"地理．地誌．紀行--海洋--大西洋"
ndc9:299.6	"地理．地誌．紀行--海洋--地中海"
ndc9:299.7	"地理．地誌．紀行--海洋--北極海［北氷洋］"
ndc9:299.8	"地理．地誌．紀行--海洋--南極海［南氷洋］"
ndc9:299.9	"地理．地誌．紀行--海洋--地球以外の世界"
