ndc9:1	"哲学（類目）"
ndc9:131.5	"古代哲学--ストア派．ストア哲学"
ndc9:131.6	"古代哲学--エピクロス Epicurus．エピクロス派"
ndc9:131.7	"古代哲学--懐疑派：古懐疑派，中アカデミー，新懐疑派"
ndc9:131.8	"古代哲学--折衷学派：キケロ Cicero，Marcus Tullius"
ndc9:131.9	"古代哲学--新ピュタゴラス派．新アカデミー派：フィロン＜ラリッサの＞Philon，of Alexandria．新プラトン派：プロティノス Plotinus"
ndc9:132	"中世哲学"
ndc9:132.1	"中世哲学--教父哲学［護教家］：アウグスティヌス Augustine，Saint，Bishop of Hippo"
ndc9:132.2	"中世哲学--スコラ哲学"
ndc9:132.3	"中世哲学--ルネサンス哲学＜一般＞"
ndc9:132.4	"中世哲学--神秘主義者：アグリッパ Agrippa von Nettesheim，Heinrich Cornelius，1486？―1535，ヴァイゲル Weigel，Valentin，1533―1588，ニコラウス・クサヌス Nicolaus Cusanus，1401―1464，ベーメ Behme，Jakob，1501―1624"
ndc9:132.5	"中世哲学--自然哲学者：カルダーノ Cardano，Girolano，1501―1576，カンパネラ Campanella，Tomaso，1568―1639，テレジオ Telesio，Bernardino，1508―1588，ブルーノ Bruno，Giordano，1548―1600"
ndc9:132.6	"中世哲学--人文主義者：エラスムス Erasmus，Desiderius，d．1536"
ndc9:132.7	"中世哲学--懐疑思想家：モンテーニュ Montaigne，Michel Eyqueme de，1533―1592"
ndc9:133	"近代哲学"
ndc9:133.1	"近代哲学--イギリス哲学"
ndc9:133.2	"近代哲学--17世紀：ベーコン，F．Bacon，Francis，1561―1626，ホッブス Hobbes，Thomas，1588―1679，ロック Locke，John，1632―1704"
ndc9:133.3	"近代哲学--18世紀：バークリ Berkeley，George，1685―1753，ヒューム Hume，David，1711―1776"
ndc9:133.4	"近代哲学--19世紀：グリーン Green，Thomas Hill，1836―1882，スペンサー Spencer，Herbert，1820―1903，ベンサム Bentham，Jeremy，1748―1832，ミル Mill，John Stuart，1806―1873"
ndc9:133.5	"近代哲学--20世紀―：アレクサンダー Alexander，Samuel，1859―1938，ホワイトヘッド Whitehead，Alfred North，1861―1947，ムーア Moore，George Edward，1873―1958，ラッセル Russell，Bertrand，1872―1970"
ndc9:133.9	"近代哲学--アメリカ哲学"
ndc9:134	"ドイツ・オーストリア哲学"
ndc9:134.1	"ドイツ・オーストリア哲学--啓蒙期の哲学．ライプニッツ・ヴォルフ派"
ndc9:134.2	"ドイツ・オーストリア哲学--カント Kant，Immanuel，1724―1804"
ndc9:134.3	"ドイツ・オーストリア哲学--ドイツ観念論"
ndc9:134.4	"ドイツ・オーストリア哲学--ヘーゲル Hegel，Georg Wilhelm Friedrich，1770―1831"
ndc9:134.5	"ドイツ・オーストリア哲学--ヘーゲル派"
ndc9:134.6	"ドイツ・オーストリア哲学--19世紀"
ndc9:134.7	"ドイツ・オーストリア哲学--唯物論者．実証主義"
ndc9:134.8	"ドイツ・オーストリア哲学--新カント派：バーデン学派，マールブルク学派"
ndc9:134.9	"ドイツ・オーストリア哲学--生の哲学．現象学．実存主義"
ndc9:135	"フランス・オランダ哲学"
ndc9:135.2	"フランス・オランダ哲学--17世紀：スピノザ Spinoza，Benedictus de，1632―1677，ベイル Bayle，Pierre，1647―1706，マルブランシュ Malebranche，Nicolas，1638―1715"
ndc9:135.3	"フランス・オランダ哲学--18世紀：ヴォルテール Voltaire，1694―1778，コンディヤック Condillac，Etienne Bonnot de，1715―1780，コンドルセ Condorcet，Jean―Antoine―Nicolas de Caritat，1743―1794，ディドロ Diderot，Denis，1713―1784，ドルバック Holbach，Paul Henri Thiry d’，1723―1789，ラ・メトリ La Mettrie，Julien Offroy de，1709―1751"
ndc9:135.4	"フランス・オランダ哲学--19世紀：クーザン Cousin，Victor，1792―1867，コント Comte，Auguste，1798―1857，ベルクソン Bergson，Henri，1859―1941，メヌ・ド・ビラン Maine de Biran，Francois Pierre，1766―1824，ラムネ Lamennais，Felicite Robert de，1782―1854"
ndc9:135.5	"フランス・オランダ哲学--20世紀―：アラン Alain，1868―1951，マリタン Maritain，Jacques，1882―1973"
ndc9:136	"スペイン・ポルトガル哲学"
ndc9:137	"イタリア哲学"
ndc9:138	"ロシア哲学"
ndc9:139	"その他の哲学"
ndc9:139.3	"その他の哲学--その他の西洋諸国の哲学"
ndc9:139.4	"その他の哲学--アフリカ諸国の哲学"
ndc9:139.6	"その他の哲学--中南米諸国の哲学"
ndc9:139.7	"その他の哲学--その他の諸国の哲学"
ndc9:14	"心理学（綱目）"
ndc9:140	"心理学"
ndc9:140.1	"心理学--理論．心理学体系［学派］"
ndc9:140.2	"（心理学--心理学史）"
ndc9:140.7	"心理学--研究法．指導法．心理学的検査"
ndc9:141	"普通心理学．心理各論"
ndc9:141.1	"普通心理学．心理各論--知能"
ndc9:141.2	"普通心理学．心理各論--感覚．知覚"
ndc9:141.3	"普通心理学．心理各論--学習．記憶"
ndc9:141.4	"普通心理学．心理各論--注意．統覚"
ndc9:141.5	"普通心理学．心理各論--思考．想像．創造性"
ndc9:141.6	"普通心理学．心理各論--情動：情緒，感情，情操"
ndc9:141.7	"普通心理学．心理各論--行動．衝動"
ndc9:141.8	"普通心理学．心理各論--意志．意欲"
ndc9:141.9	"普通心理学．心理各論--個性．差異心理学"
ndc9:143	"発達心理学"
ndc9:143.1	"発達心理学--両性の心理"
ndc9:143.2	"発達心理学--幼児心理"
ndc9:143.3	"発達心理学--児童心理"
ndc9:143.4	"発達心理学--青年心理"
ndc9:143.5	"発達心理学--女性心理"
ndc9:143.6	"発達心理学--壮年心理"
ndc9:143.7	"発達心理学--老年心理．中高年心理"
ndc9:143.8	"発達心理学--比較心理学"
ndc9:143.9	"発達心理学--民族心理学"
ndc9:145	"異常心理学"
ndc9:145.1	"異常心理学--潜在意識．無意識"
ndc9:145.2	"異常心理学--睡眠．夢．寝言"
ndc9:145.3	"異常心理学--夢遊病"
ndc9:145.4	"異常心理学--催眠術．暗示"
ndc9:145.5	"異常心理学--知覚の異常：幻覚，錯覚"
ndc9:145.6	"異常心理学--記憶の異常．思考の異常"
ndc9:145.7	"異常心理学--意欲の異常：性的異常，近親相姦．自殺"
ndc9:145.8	"異常心理学--知能の異常：知能遅滞．人格の異常：多重人格，人格分裂"
ndc9:146	"臨床心理学．精神分析学"
ndc9:146.1	"臨床心理学．精神分析学--精神分析学．深層心理学"
ndc9:146.2	"臨床心理学．精神分析学--適応．不適応"
ndc9:146.3	"臨床心理学．精神分析学--臨床診断法：面接法．観察法"
ndc9:146.8	"臨床心理学．精神分析学--心理療法．カウンセリング"
ndc9:147	"超心理学．心霊研究"
ndc9:147.1	"超心理学．心霊研究--呪術．幻術"
ndc9:147.2	"超心理学．心霊研究--テレパシー．精神感応"
ndc9:147.3	"超心理学．心霊研究--自動書記・言語．降神術．つきもの．霊媒術"
ndc9:147.4	"超心理学．心霊研究--予知．予言．透視．透聴"
ndc9:147.5	"超心理学．心霊研究--念力．心霊写真．念写"
ndc9:147.6	"超心理学．心霊研究--妖怪．幽霊"
ndc9:147.7	"超心理学．心霊研究--その他の心霊現象・心霊術"
ndc9:147.8	"超心理学．心霊研究--霊能者．超能力者"
ndc9:148	"相法．易占"
ndc9:148.1	"相法．易占--性相学"
ndc9:148.3	"相法．易占--姓名判断．墨色判断"
ndc9:148.4	"相法．易占--陰陽道．易学．五行．九星術"
ndc9:148.5	"相法．易占--方位：家相，地相，墓相"
ndc9:148.6	"相法．易占--天源術．淘宮術．推命学"
ndc9:148.7	"相法．易占--幹枝術．相性"
ndc9:148.8	"相法．易占--占星術．宿曜道．天文道"
ndc9:148.9	"相法．易占--その他の占い：夢占い，トランプ占い，水晶占い"
ndc9:149	"応用心理学"
ndc9:15	"倫理学．道徳（綱目）"
ndc9:150	"倫理学．道徳"
ndc9:150.2	"倫理学．道徳--倫理学史．倫理思想史"
ndc9:150.6	"（倫理学．道徳--MRA運動）"
ndc9:151	"倫理各論"
ndc9:151.1	"倫理各論--価値論．徳論．品性"
ndc9:151.2	"倫理各論--当為．意志の自由．行為．形式主義"
ndc9:151.3	"倫理各論--良心．標準．直観主義"
ndc9:151.4	"倫理各論--個人主義．利己主義．人格主義"
ndc9:151.5	"倫理各論--人道主義．利他主義．博愛主義"
ndc9:151.6	"倫理各論--幸福主義．快楽主義"
ndc9:151.7	"倫理各論--功利主義"
ndc9:151.8	"倫理各論--全体主義．国家主義"
ndc9:152	"家庭倫理．性倫理"
ndc9:152.1	"家庭倫理．性倫理--性倫理［性道徳］"
ndc9:152.2	"家庭倫理．性倫理--結婚．離婚"
ndc9:152.4	"家庭倫理．性倫理--夫婦のモラル"
ndc9:152.6	"家庭倫理．性倫理--孝行"
ndc9:153	"職業倫理"
ndc9:154	"社会倫理［社会道徳］"
ndc9:155	"国体論．詔勅"
ndc9:155.9	"国体論．詔勅--外国の国体論"
ndc9:156	"倫理学．道徳--武士道"
ndc9:156.4	"倫理学．道徳--武士道--武家の家憲・家訓"
ndc9:156.9	"倫理学．道徳--武士道--騎士道"
ndc9:157	"倫理学．道徳--報徳教．石門心学"
ndc9:157.2	"倫理学．道徳--報徳教．石門心学--二宮尊徳．報徳仕法．報徳講"
ndc9:157.9	"倫理学．道徳--報徳教．石門心学--心学講話：石田梅巌，柴田鳩翁，手島堵庵，中沢道二"
ndc9:158	"倫理学．道徳--その他の特定主題"
ndc9:159	"倫理学．道徳--人生訓．教訓"
ndc9:159.2	"倫理学．道徳--人生訓．教訓--美談．事跡．徳行録"
ndc9:159.3	"倫理学．道徳--人生訓．教訓--家憲．家訓"
ndc9:159.4	"倫理学．道徳--人生訓．教訓--経営訓"
ndc9:159.5	"倫理学．道徳--人生訓．教訓--児童のための教訓"
ndc9:159.6	"倫理学．道徳--人生訓．教訓--女性のための人生訓"
ndc9:159.7	"倫理学．道徳--人生訓．教訓--青年・学生のための人生訓"
ndc9:159.8	"倫理学．道徳--人生訓．教訓--金言．格言．箴言"
ndc9:159.9	"倫理学．道徳--人生訓．教訓--道歌"
ndc9:16	"宗教（綱目）"
ndc9:160	"宗教"
ndc9:161	"宗教学．宗教思想"
ndc9:161.1	"宗教学．宗教思想--宗教哲学"
ndc9:161.2	"宗教学．宗教思想--宗教学史．宗教思想史"
ndc9:161.3	"宗教学．宗教思想--宗教社会学"
ndc9:161.4	"宗教学．宗教思想--宗教心理学"
ndc9:162	"宗教史・事情"
ndc9:162.1	"（宗教史・事情--神仏習合）"
ndc9:162.4	"（宗教史・事情--黒人--宗教）"
ndc9:162.8	"宗教史・事情--宗教家＜列伝＞"
